model,decision_type,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp,prob_cutoff
mean_baseline,thresholded_regression,3.5,0.644523899134362,0.644523899134362,1.0,0.7838425449136057,0,1889,0,3425,
mean_baseline,thresholded_regression,4.5,0.48701543093714716,0.48701543093714716,1.0,0.6550240445456846,0,2726,0,2588,
mean_baseline,thresholded_regression,5.5,0.6543093714715845,0.0,0.0,0.0,3477,0,1837,0,
mean_baseline,thresholded_regression,6.5,0.7783214151298457,0.0,0.0,0.0,4136,0,1178,0,
linear_regression,thresholded_regression,3.5,0.7453895370718856,0.7387096774193549,0.9360583941605839,0.825756600128783,755,1134,219,3206,
linear_regression,thresholded_regression,4.5,0.7075649228453142,0.6540524433849821,0.848145285935085,0.7385598923283984,1565,1161,393,2195,
linear_regression,thresholded_regression,5.5,0.7284531426420775,0.6196840826245443,0.5552531301034295,0.5857019810508183,2851,626,817,1020,
linear_regression,thresholded_regression,6.5,0.7929996236356793,0.6242038216560509,0.166383701188455,0.26273458445040215,4018,118,982,196,
xgboost,thresholded_regression,3.5,0.7440722619495672,0.7481374669550589,0.9089051094890511,0.8207223833377274,841,1048,312,3113,
xgboost,thresholded_regression,4.5,0.7039894617990214,0.6653633105246008,0.7890262751159196,0.7219374226621884,1699,1027,546,2042,
xgboost,thresholded_regression,5.5,0.7246894994354535,0.6068571428571429,0.5781164942841589,0.5921382771117926,2789,688,775,1062,
xgboost,thresholded_regression,6.5,0.786036883703425,0.5286713286713287,0.32088285229202035,0.3993660855784469,3799,337,800,378,
neural_network,thresholded_regression,3.5,0.7515995483628152,0.7513732983042751,0.9185401459854015,0.8265895953757225,848,1041,279,3146,
neural_network,thresholded_regression,4.5,0.7143394806172375,0.6714743589743589,0.8095054095826894,0.7340574632095305,1701,1025,493,2095,
neural_network,thresholded_regression,5.5,0.731652239367708,0.6168277430358158,0.5906369080021775,0.603448275862069,2803,674,752,1085,
neural_network,thresholded_regression,6.5,0.7905532555513737,0.5450762829403606,0.333616298811545,0.41390205371248023,3808,328,785,393,
bayesian_nn_mean,thresholded_regression,3.5,0.7515995483628152,0.7519751017476658,0.9170802919708029,0.8263614838200474,853,1036,284,3141,
bayesian_nn_mean,thresholded_regression,4.5,0.7149040270982311,0.672120628809753,0.8095054095826894,0.7344434706397897,1704,1022,493,2095,
bayesian_nn_mean,thresholded_regression,5.5,0.7322167858487015,0.6180159635119726,0.5900925421883506,0.6037315510999721,2807,670,753,1084,
bayesian_nn_mean,thresholded_regression,6.5,0.7903650733910426,0.5449438202247191,0.3293718166383701,0.4105820105820106,3812,324,790,388,
bayesian_nn_probability,probability_cutoff,3.5,0.7517877305231464,0.7522759942501198,0.9167883211678832,0.826424529543361,855,1034,285,3140,0.5
bayesian_nn_probability,probability_cutoff,4.5,0.7147158449378999,0.6715749039692702,0.8106646058732612,0.7345938375350141,1700,1026,490,2098,0.5
bayesian_nn_probability,probability_cutoff,5.5,0.7333458788106888,0.6198630136986302,0.5911812738160044,0.6051825020897186,2811,666,751,1086,0.5
bayesian_nn_probability,probability_cutoff,6.5,0.7914941663530297,0.5487465181058496,0.33446519524617996,0.41561181434599154,3812,324,784,394,0.5
